investment_id,client_id,client_name,age,city,state,asset_type,risk_category,investment_amount,annual_return_amount,investment_years,investment_start_date,investment_end_date,roi_percent,total_invested,asset_risk_score,roi_risk_score,risk_score,risk_level
11,INV100010,Prakash Agarwal,35,Mumbai,Tamil Nadu,Fixed Deposit,Low,4704433.0,824216.66,1.6247,2019-11-28,2021-07-13,17.519999965989527,4704433.0,1,3,1.8000000000000003,Medium
12,INV100011,Shilpa Khan,37,Hyderabad,Karnataka,Fixed Deposit,Low,4458742.0,910920.99,4.5836,2019-09-04,2024-04-03,20.42999998654329,4458742.0,1,3,1.8000000000000003,Medium
13,INV100012,Rakesh Gupta,44,Mumbai,Telangana,Fixed Deposit,Low,4648929.0,954425.12,1.1068,2020-09-27,2021-11-05,20.529999920411775,4648929.0,1,3,1.8000000000000003,Medium
14,INV100013,Anil Patil,55,Bengaluru,Gujarat,Mutual Fund,Medium,918513.0,157708.68,3.9863,2022-04-07,2026-04-01,17.169999771369593,918513.0,2,3,2.4000000000000004,High
15,INV100014,Pooja Mehta,58,Pune,Telangana,Mutual Fund,Medium,1887377.0,317645.55,4.6438,2021-10-07,2026-05-29,16.830000047685225,1887377.0,2,3,2.4000000000000004,High
16,INV100015,Suresh Sharma,39,Mumbai,West Bengal,Equity,High,376448.0,54923.76,1.0384,2019-03-28,2020-04-10,14.589999149948998,376448.0,3,2,2.5999999999999996,High
17,INV100016,Swati Khan,55,Kolkata,Gujarat,Mutual Fund,Medium,2536036.0,406780.17,5.0575,2018-09-28,2023-10-18,16.039999826500882,2536036.0,2,3,2.4000000000000004,High
18,INV100017,Rahul Verma,28,Hyderabad,Delhi,Mutual Fund,Medium,3815919.0,396092.39,5.0904,2022-11-05,2027-12-07,10.379999942346785,3815919.0,2,2,2.0,Medium
19,INV100018,Sunil Verma,53,Mumbai,Maharashtra,Equity,High,4698690.0,567601.75,3.5945,2019-07-25,2023-02-26,12.079999957434945,4698690.0,3,2,2.5999999999999996,High
20,INV100019,Rahul Patil,49,Chennai,Tamil Nadu,Gold,Medium,2182894.0,152584.29,3.2493,2019-03-14,2022-06-12,6.989999972513554,2182894.0,2,1,1.6,Low
21,INV100020,Deepak Sharma,62,Hyderabad,Maharashtra,Equity,High,4862122.0,773563.61,2.663,2019-01-24,2021-09-22,15.90999999588657,4862122.0,3,3,3.0,High
22,INV100021,Suresh Patil,29,Delhi,Gujarat,Equity,High,4418214.0,907942.98,3.8493,2018-04-27,2022-03-02,20.55000006790074,4418214.0,3,3,3.0,High
23,INV100022,Sneha Khan,61,Bengaluru,Telangana,ETF,Medium,4978783.0,419711.41,1.4575,2021-06-22,2022-12-06,8.430000062264211,4978783.0,2,2,2.0,Medium
24,INV100023,Anjali Gupta,29,Kolkata,Delhi,Equity,High,2202242.0,193356.85,2.6822,2021-08-14,2024-04-19,8.780000108979849,2202242.0,3,2,2.5999999999999996,High
25,INV100024,Sunil Gupta,43,Kolkata,Tamil Nadu,Fixed Deposit,Low,4443668.0,389709.68,1.3836,2022-12-10,2024-04-28,8.769999918985846,4443668.0,1,2,1.4,Low
26,INV100025,Rakesh Patil,41,Pune,Karnataka,Debt Fund,Low,4637076.0,191974.95,4.7205,2019-09-06,2024-05-25,4.140000077635131,4637076.0,1,1,1.0,Low
27,INV100026,Shilpa Mehta,41,Pune,Gujarat,Debt Fund,Low,1966889.0,332797.62,2.4795,2021-07-22,2024-01-13,16.92000006101005,1966889.0,1,3,1.8000000000000003,Medium
28,INV100027,Anjali Joshi,52,Pune,Delhi,ETF,Medium,2998075.0,536055.81,1.9041,2019-06-21,2021-05-16,17.880000000000003,2998075.0,2,3,2.4000000000000004,High
29,INV100028,Sneha Patil,27,Hyderabad,Maharashtra,Debt Fund,Low,4776743.0,222118.55,1.8301,2021-02-05,2022-12-05,4.650000010467383,4776743.0,1,1,1.0,Low
30,INV100029,Nikita Patil,40,Nagpur,Gujarat,Equity,High,2293207.0,366913.12,3.2795,2021-02-20,2024-06-01,16.0,2293207.0,3,3,3.0,High
31,INV100030,Sunil Kulkarni,35,Chennai,Maharashtra,Gold,Medium,2986573.0,539972.4,5.1233,2021-10-03,2026-11-16,18.08000005357311,2986573.0,2,3,2.4000000000000004,High
32,INV100031,Sunil Sharma,37,Hyderabad,Tamil Nadu,Equity,High,4061303.0,417908.08,2.2767,2022-11-20,2025-02-28,10.290000032009432,4061303.0,3,2,2.5999999999999996,High
33,INV100032,Neha Sharma,32,Nagpur,Tamil Nadu,Equity,High,2541470.0,262279.7,4.0082,2021-10-23,2025-10-25,10.319999842610773,2541470.0,3,2,2.5999999999999996,High
34,INV100033,Shilpa Verma,49,Bengaluru,Maharashtra,ETF,Medium,3845385.0,392998.35,4.4,2020-06-12,2024-11-04,10.220000078015595,3845385.0,2,2,2.0,Medium
35,INV100034,Deepak Gupta,52,Hyderabad,West Bengal,ETF,Medium,4561407.0,942386.69,5.1616,2022-01-13,2027-03-12,20.66000008330763,4561407.0,2,3,2.4000000000000004,High
36,INV100035,Prakash Joshi,33,Chennai,Gujarat,ETF,Medium,2719285.0,357042.12,3.2575,2019-10-31,2023-02-01,13.129999981612814,2719285.0,2,2,2.0,Medium
37,INV100036,Prakash Kulkarni,38,Jaipur,West Bengal,Gold,Medium,1659847.0,250304.93,1.0,2021-01-27,2022-01-27,15.08000014459164,1659847.0,2,3,2.4000000000000004,High
38,INV100037,Vikas Verma,43,Pune,Telangana,ETF,Medium,1992657.0,263030.72,5.4658,2023-05-20,2028-11-04,13.199999799262994,1992657.0,2,2,2.0,Medium
39,INV100038,Suresh Mehta,51,Chennai,Rajasthan,Gold,Medium,1870422.0,124383.06,4.4274,2020-08-31,2025-02-02,6.6499998396083875,1870422.0,2,1,1.6,Low
40,INV100039,Sneha Deshmukh,36,Mumbai,Telangana,Equity,High,246513.0,49475.16,1.5973,2022-12-19,2024-07-24,20.07000036509231,246513.0,3,3,3.0,High
41,INV100040,Anjali Khan,57,Ahmedabad,Rajasthan,Mutual Fund,Medium,4097709.0,656452.98,2.7781,2021-05-04,2024-02-12,16.019999956073015,4097709.0,2,3,2.4000000000000004,High
42,INV100041,Rajesh Joshi,56,Bengaluru,Rajasthan,Equity,High,4181857.0,506004.7,4.5753,2022-09-17,2027-04-14,12.100000071738465,4181857.0,3,2,2.5999999999999996,High
43,INV100042,Anil Patil,39,Nagpur,Telangana,Equity,High,2167074.0,192652.88,1.4521,2021-01-11,2022-06-25,8.89000006460324,2167074.0,3,2,2.5999999999999996,High
44,INV100043,Kavita Khan,26,Kolkata,Maharashtra,Debt Fund,Low,2975634.0,409744.8,3.3562,2019-02-28,2022-07-07,13.76999993950869,2975634.0,1,2,1.4,Low
45,INV100044,Priya Khan,39,Delhi,Tamil Nadu,Gold,Medium,3471445.0,672071.75,4.0192,2020-05-08,2024-05-14,19.359999942387105,3471445.0,2,3,2.4000000000000004,High
46,INV100045,Vikas Mehta,33,Chennai,Maharashtra,Equity,High,3461970.0,347927.98,5.063,2020-04-08,2025-04-30,10.04999985557356,3461970.0,3,2,2.5999999999999996,High
47,INV100046,Neha Deshmukh,54,Hyderabad,Gujarat,Debt Fund,Low,1338329.0,262312.48,3.126,2019-06-17,2022-08-01,19.599999701119827,1338329.0,1,3,1.8000000000000003,Medium
48,INV100047,Priya Sharma,47,Pune,Maharashtra,Equity,High,3736342.0,319083.61,5.2027,2018-02-09,2023-04-23,8.540000085645264,3736342.0,3,2,2.5999999999999996,High
49,INV100048,Ritu Verma,61,Kolkata,Tamil Nadu,Debt Fund,Low,1872358.0,357807.61,1.7068,2019-05-04,2021-01-16,19.109999797047358,1872358.0,1,3,1.8000000000000003,Medium
50,INV100049,Swati Sharma,44,Chennai,Telangana,Equity,High,1160771.0,208938.78,1.6055,2019-09-30,2021-05-08,18.0,1160771.0,3,3,3.0,High
51,INV100050,Nikita Verma,61,Hyderabad,Gujarat,ETF,Medium,2237168.0,130426.89,4.8384,2022-10-08,2027-08-09,5.829999803322773,2237168.0,2,1,1.6,Low
52,INV100051,Rakesh Agarwal,48,Nagpur,Gujarat,Mutual Fund,Medium,4444306.0,695978.32,3.7479,2020-05-10,2024-02-07,15.66000000900028,4444306.0,2,3,2.4000000000000004,High
53,INV100052,Anjali Agarwal,62,Hyderabad,Telangana,Equity,High,2465615.0,372061.3,3.7123,2022-05-06,2026-01-20,15.089999858047587,2465615.0,3,3,3.0,High
54,INV100053,Kavita Gupta,26,Hyderabad,Karnataka,Gold,Medium,3981601.0,334056.32,4.7479,2021-06-03,2026-03-02,8.389999902049453,3981601.0,2,2,2.0,Medium
55,INV100054,Priya Sharma,58,Pune,Telangana,ETF,Medium,2367217.0,239799.08,2.5479,2021-12-07,2024-06-24,10.129999911288232,2367217.0,2,2,2.0,Medium
56,INV100055,Ritu Mehta,26,Bengaluru,Telangana,Gold,Medium,4857155.0,857287.86,4.9918,2021-08-15,2026-08-11,17.65000005147046,4857155.0,2,3,2.4000000000000004,High
57,INV100056,Pooja Agarwal,60,Hyderabad,Rajasthan,Debt Fund,Low,2768642.0,441598.4,3.9781,2021-02-07,2025-01-29,15.95000003611879,2768642.0,1,3,1.8000000000000003,Medium
58,INV100057,Priya Patil,37,Kolkata,Tamil Nadu,ETF,Medium,2133893.0,131661.2,5.1671,2018-09-02,2023-11-01,6.170000089039142,2133893.0,2,1,1.6,Low
59,INV100058,Prakash Deshmukh,48,Bengaluru,Maharashtra,ETF,Medium,4600973.0,678183.42,2.0877,2022-09-02,2024-10-03,14.739999995653093,4600973.0,2,2,2.0,Medium
60,INV100059,Anil Mehta,31,Jaipur,Tamil Nadu,Gold,Medium,2501090.0,120552.54,4.9123,2019-08-22,2024-07-19,4.820000079965135,2501090.0,2,1,1.6,Low
61,INV100060,Rakesh Verma,50,Pune,Maharashtra,Mutual Fund,Medium,3058048.0,223849.11,3.6795,2023-04-12,2026-12-15,7.319999882277845,3058048.0,2,1,1.6,Low
62,INV100061,Priya Agarwal,63,Ahmedabad,Gujarat,Gold,Medium,4921440.0,1037439.55,1.663,2019-05-24,2021-01-20,21.07999995936149,4921440.0,2,3,2.4000000000000004,High
63,INV100062,Nikita Sharma,64,Delhi,Telangana,Debt Fund,Low,2694378.0,524864.83,4.189,2019-09-18,2023-11-25,19.479999836697,2694378.0,1,3,1.8000000000000003,Medium
64,INV100063,Sneha Mehta,63,Bengaluru,Maharashtra,Mutual Fund,Medium,1517490.0,126255.17,1.0137,2018-11-17,2019-11-22,8.320000131796585,1517490.0,2,2,2.0,Medium
65,INV100064,Rajesh Khan,37,Pune,Telangana,ETF,Medium,2571613.0,428173.56,2.3096,2021-11-08,2024-02-29,16.64999982501255,2571613.0,2,3,2.4000000000000004,High
66,INV100065,Prakash Khan,61,Kolkata,Delhi,Gold,Medium,2428286.0,458460.4,5.4466,2018-12-06,2024-05-16,18.880000131780193,2428286.0,2,3,2.4000000000000004,High
67,INV100066,Suresh Khan,27,Hyderabad,Tamil Nadu,Equity,High,3576486.0,749989.11,3.4548,2020-10-08,2024-03-22,20.969999882566295,3576486.0,3,3,3.0,High
68,INV100067,Rahul Patil,55,Bengaluru,Karnataka,Fixed Deposit,Low,374025.0,82248.1,4.2329,2019-07-06,2023-09-28,21.99000066840452,374025.0,1,3,1.8000000000000003,Medium
69,INV100068,Neha Verma,35,Chennai,Rajasthan,Debt Fund,Low,4324894.0,927257.27,2.8685,2020-04-16,2023-02-27,21.439999916760964,4324894.0,1,3,1.8000000000000003,Medium
70,INV100069,Neha Kulkarni,45,Chennai,Maharashtra,ETF,Medium,3559236.0,663441.59,1.4932,2020-07-20,2022-01-16,18.639999988761634,3559236.0,2,3,2.4000000000000004,High
71,INV100070,Ritu Mehta,28,Bengaluru,Karnataka,Debt Fund,Low,4075338.0,466218.67,4.4932,2020-01-11,2024-07-08,11.440000068705958,4075338.0,1,2,1.4,Low
72,INV100071,Vikas Kulkarni,60,Ahmedabad,Gujarat,Equity,High,4266057.0,264068.93,2.3425,2021-05-31,2023-10-03,6.190000039849444,4266057.0,3,1,2.1999999999999997,Medium
73,INV100072,Ritu Kulkarni,57,Chennai,Rajasthan,Gold,Medium,1151780.0,141784.12,1.863,2022-09-01,2024-07-12,12.310000173644271,1151780.0,2,2,2.0,Medium
74,INV100073,Anil Verma,42,Hyderabad,Tamil Nadu,Equity,High,4824346.0,318406.84,3.8493,2021-05-12,2025-03-17,6.600000082912794,4824346.0,3,1,2.1999999999999997,Medium
75,INV100074,Anil Mehta,59,Hyderabad,West Bengal,Fixed Deposit,Low,2704467.0,515741.86,3.7452,2021-09-13,2025-06-11,19.070000114625174,2704467.0,1,3,1.8000000000000003,Medium
76,INV100075,Sunil Khan,49,Chennai,Maharashtra,Debt Fund,Low,3364267.0,410440.57,4.9123,2019-01-22,2023-12-20,12.199999881103372,3364267.0,1,2,1.4,Low
77,INV100076,Anil Mehta,27,Ahmedabad,West Bengal,Equity,High,3397998.0,372080.78,4.6575,2022-08-08,2027-04-04,10.949999970570907,3397998.0,3,2,2.5999999999999996,High
78,INV100077,Anil Agarwal,34,Kolkata,Tamil Nadu,Debt Fund,Low,3893556.0,225436.89,5.0521,2018-02-01,2023-02-19,5.789999938359689,3893556.0,1,1,1.0,Low
79,INV100078,Priya Agarwal,45,Ahmedabad,Maharashtra,Fixed Deposit,Low,3534331.0,554889.97,4.7836,2022-10-12,2027-07-24,15.700000084881694,3534331.0,1,3,1.8000000000000003,Medium
80,INV100079,Rakesh Mehta,35,Mumbai,Maharashtra,Debt Fund,Low,2610709.0,573050.63,1.5507,2020-06-07,2021-12-25,21.95000017236697,2610709.0,1,3,1.8000000000000003,Medium
81,INV100080,Sneha Khan,36,Nagpur,Delhi,Fixed Deposit,Low,2660947.0,278068.96,3.9781,2019-05-16,2023-05-07,10.449999943629091,2660947.0,1,2,1.4,Low
82,INV100081,Rajesh Mehta,41,Kolkata,Tamil Nadu,ETF,Medium,2220226.0,287741.29,3.5863,2019-04-21,2022-11-20,12.960000018016181,2220226.0,2,2,2.0,Medium
83,INV100082,Sneha Kulkarni,54,Delhi,Gujarat,Gold,Medium,819598.0,97941.96,2.6767,2021-04-18,2023-12-21,11.949999877988967,819598.0,2,2,2.0,Medium
84,INV100083,Amit Agarwal,42,Jaipur,Maharashtra,Fixed Deposit,Low,3399115.0,485733.53,2.6548,2021-12-03,2024-07-29,14.289999897032022,3399115.0,1,2,1.4,Low
85,INV100084,Sunil Deshmukh,64,Nagpur,Delhi,ETF,Medium,2600770.0,467098.29,2.9753,2022-07-01,2025-06-21,17.959999923099694,2600770.0,2,3,2.4000000000000004,High
86,INV100085,Anil Verma,43,Chennai,Karnataka,Mutual Fund,Medium,2791516.0,507776.76,5.1068,2020-01-18,2025-02-24,18.18999998567087,2791516.0,2,3,2.4000000000000004,High
87,INV100086,Vikas Kulkarni,55,Hyderabad,Delhi,Gold,Medium,4724880.0,934581.26,2.5288,2020-10-24,2023-05-05,19.779999915341765,4724880.0,2,3,2.4000000000000004,High
88,INV100087,Kavita Joshi,48,Chennai,Maharashtra,Debt Fund,Low,1380755.0,242598.65,5.063,2021-10-17,2026-11-08,17.569999746515492,1380755.0,1,3,1.8000000000000003,Medium
89,INV100088,Kavita Gupta,31,Kolkata,Maharashtra,Fixed Deposit,Low,4015021.0,426796.73,4.2795,2019-06-21,2023-09-30,10.629999942715118,4015021.0,1,2,1.4,Low
90,INV100089,Anjali Kulkarni,51,Nagpur,Maharashtra,Equity,High,4909426.0,486033.17,1.3534,2021-08-19,2022-12-26,9.89999991852408,4909426.0,3,2,2.5999999999999996,High
91,INV100090,Kavita Mehta,48,Jaipur,Karnataka,Gold,Medium,4332434.0,263845.23,1.7589,2021-01-05,2022-10-09,6.089999986150971,4332434.0,2,1,1.6,Low
92,INV100091,Pooja Deshmukh,53,Delhi,West Bengal,Equity,High,4304940.0,649184.95,1.1836,2019-07-27,2020-10-01,15.079999953541744,4304940.0,3,3,3.0,High
93,INV100092,Kavita Kulkarni,37,Kolkata,Delhi,ETF,Medium,3281428.0,452837.06,1.3397,2020-01-05,2021-05-08,13.79999987810185,3281428.0,2,2,2.0,Medium
94,INV100093,Swati Deshmukh,29,Jaipur,Telangana,Mutual Fund,Medium,379159.0,18616.71,5.4137,2018-09-15,2024-02-12,4.910000817598949,379159.0,2,1,1.6,Low
95,INV100094,Anil Joshi,41,Pune,Maharashtra,Mutual Fund,Medium,1437774.0,261674.87,1.811,2019-07-22,2021-05-13,18.20000013910392,1437774.0,2,3,2.4000000000000004,High
96,INV100095,Anil Agarwal,58,Pune,Rajasthan,Gold,Medium,2195914.0,320603.44,1.2932,2019-06-28,2020-10-12,14.599999817843504,2195914.0,2,2,2.0,Medium
97,INV100096,Rahul Joshi,44,Mumbai,Maharashtra,Gold,Medium,4505352.0,661836.21,4.4493,2019-03-30,2023-09-09,14.690000026634989,4505352.0,2,2,2.0,Medium
98,INV100097,Suresh Verma,45,Pune,Karnataka,Debt Fund,Low,3775842.0,617350.17,3.4877,2023-02-07,2026-08-03,16.350000079452478,3775842.0,1,3,1.8000000000000003,Medium
99,INV100098,Prakash Mehta,57,Pune,Delhi,ETF,Medium,4799947.0,807351.09,3.9753,2021-05-08,2025-04-28,16.82000009583439,4799947.0,2,3,2.4000000000000004,High
100,INV100099,Sneha Gupta,54,Chennai,Delhi,Debt Fund,Low,4824935.0,819273.96,2.2795,2020-07-13,2022-10-23,16.979999937822996,4824935.0,1,3,1.8000000000000003,Medium
101,INV100100,Suresh Verma,30,Chennai,Delhi,ETF,Medium,2338170.0,251119.46,3.6603,2023-03-06,2026-11-01,10.74000008553698,2338170.0,2,2,2.0,Medium
102,INV100101,Neha Verma,51,Chennai,Maharashtra,Debt Fund,Low,1291487.0,180937.33,4.1507,2021-02-24,2025-04-19,14.010000100659163,1291487.0,1,2,1.4,Low
103,INV100102,Ritu Deshmukh,31,Ahmedabad,West Bengal,Equity,High,3149822.0,184579.57,4.6822,2018-11-13,2023-07-19,5.860000025398261,3149822.0,3,1,2.1999999999999997,Medium
104,INV100103,Nikita Khan,60,Jaipur,Tamil Nadu,Equity,High,2097159.0,388603.56,5.3041,2023-06-19,2028-10-06,18.529999871254397,2097159.0,3,3,3.0,High
105,INV100104,Swati Agarwal,29,Mumbai,Delhi,ETF,Medium,2791951.0,574862.71,1.8027,2019-01-07,2020-10-26,20.589999967764474,2791951.0,2,3,2.4000000000000004,High
106,INV100105,Neha Khan,63,Mumbai,Karnataka,Mutual Fund,Medium,3355747.0,387924.35,2.7479,2020-01-28,2022-10-27,11.5599999046412,3355747.0,2,2,2.0,Medium
107,INV100106,Ritu Khan,53,Bengaluru,Telangana,Fixed Deposit,Low,617438.0,99592.75,3.3781,2021-09-17,2025-02-01,16.13000009717575,617438.0,1,3,1.8000000000000003,Medium
108,INV100107,Shilpa Kulkarni,27,Chennai,Maharashtra,Equity,High,3806376.0,228382.56,3.7288,2021-04-29,2025-01-19,6.0,3806376.0,3,1,2.1999999999999997,Medium
109,INV100108,Rakesh Sharma,56,Nagpur,Karnataka,Gold,Medium,1971959.0,351205.9,2.8384,2019-08-16,2022-06-17,17.81000010649309,1971959.0,2,3,2.4000000000000004,High
110,INV100109,Suresh Agarwal,27,Mumbai,Rajasthan,Equity,High,2130308.0,276940.04,2.9863,2022-07-10,2025-07-04,12.999999999999998,2130308.0,3,2,2.5999999999999996,High
111,INV100110,Rakesh Agarwal,26,Nagpur,Rajasthan,ETF,Medium,3801097.0,544317.09,2.6219,2020-05-05,2022-12-18,14.31999998947672,3801097.0,2,2,2.0,Medium
112,INV100111,Kavita Joshi,30,Bengaluru,West Bengal,Mutual Fund,Medium,939287.0,111399.44,4.3041,2020-06-11,2024-09-29,11.860000191634718,939287.0,2,2,2.0,Medium
113,INV100112,Deepak Gupta,47,Delhi,Delhi,Mutual Fund,Medium,1610399.0,86478.43,3.8603,2020-12-22,2024-10-31,5.370000229756725,1610399.0,2,1,1.6,Low
114,INV100113,Vikas Mehta,54,Jaipur,West Bengal,ETF,Medium,1655415.0,245663.59,1.4219,2021-09-04,2023-02-05,14.840000241631252,1655415.0,2,2,2.0,Medium
115,INV100114,Rajesh Khan,28,Ahmedabad,Delhi,Debt Fund,Low,3888997.0,203394.54,5.4658,2019-09-13,2025-02-28,5.229999920287931,3888997.0,1,1,1.0,Low
116,INV100115,Suresh Khan,63,Kolkata,Maharashtra,Gold,Medium,515472.0,25876.69,4.6164,2018-06-07,2023-01-17,5.019999146413384,515472.0,2,1,1.6,Low
117,INV100116,Anil Sharma,53,Hyderabad,Delhi,Fixed Deposit,Low,4995403.0,785776.89,3.811,2020-09-01,2024-06-23,15.72999996196503,4995403.0,1,3,1.8000000000000003,Medium
118,INV100117,Shilpa Khan,35,Hyderabad,Tamil Nadu,Gold,Medium,528347.0,44698.16,3.9397,2020-06-18,2024-05-26,8.460000719224297,528347.0,2,2,2.0,Medium
119,INV100118,Neha Verma,46,Ahmedabad,Gujarat,Debt Fund,Low,3038429.0,492833.18,4.6301,2021-07-16,2026-03-02,16.21999987493537,3038429.0,1,3,1.8000000000000003,Medium
120,INV100119,Prakash Agarwal,33,Bengaluru,Gujarat,ETF,Medium,1461422.0,146142.2,2.9616,2018-10-17,2021-10-02,10.0,1461422.0,2,2,2.0,Medium
121,INV100120,Shilpa Verma,52,Mumbai,West Bengal,Debt Fund,Low,1272011.0,204284.97,4.8438,2022-02-22,2026-12-26,16.060000267293287,1272011.0,1,3,1.8000000000000003,Medium
122,INV100121,Anil Patil,29,Pune,Maharashtra,ETF,Medium,1996778.0,202672.97,2.2685,2019-01-29,2021-05-06,10.15000015024204,1996778.0,2,2,2.0,Medium
123,INV100122,Nikita Patil,53,Chennai,West Bengal,ETF,Medium,1299319.0,191649.55,4.8849,2019-01-06,2023-11-24,14.749999807591516,1299319.0,2,2,2.0,Medium
124,INV100123,Sunil Joshi,40,Kolkata,Telangana,Debt Fund,Low,3926208.0,588538.58,3.5178,2022-05-25,2025-11-29,14.990000020375893,3926208.0,1,2,1.4,Low
125,INV100124,Kavita Joshi,58,Nagpur,Telangana,Fixed Deposit,Low,4985024.0,1082747.21,5.3644,2019-08-01,2024-12-10,21.719999943831763,4985024.0,1,3,1.8000000000000003,Medium
126,INV100125,Rakesh Joshi,32,Pune,Karnataka,Debt Fund,Low,2297178.0,113480.59,4.1096,2020-01-31,2024-03-10,4.939999860698649,2297178.0,1,1,1.0,Low
127,INV100126,Anjali Gupta,26,Mumbai,Gujarat,Fixed Deposit,Low,4506314.0,299669.88,2.2438,2023-04-23,2025-07-20,6.649999977808914,4506314.0,1,1,1.0,Low
128,INV100127,Rakesh Gupta,34,Mumbai,Tamil Nadu,Gold,Medium,3439396.0,753227.72,2.7863,2018-02-27,2020-12-10,21.89999988370051,3439396.0,2,3,2.4000000000000004,High
129,INV100128,Suresh Sharma,41,Nagpur,Gujarat,Equity,High,1364277.0,240931.32,1.0274,2021-06-14,2022-06-24,17.660000131938016,1364277.0,3,3,3.0,High
130,INV100129,Nikita Mehta,29,Kolkata,Maharashtra,ETF,Medium,2193470.0,206624.87,4.5836,2020-05-09,2024-12-07,9.419999817640543,2193470.0,2,2,2.0,Medium
131,INV100130,Pooja Deshmukh,61,Nagpur,Delhi,Fixed Deposit,Low,2229524.0,377458.41,4.4493,2018-01-04,2022-06-16,16.929999856471603,2229524.0,1,3,1.8000000000000003,Medium
132,INV100131,Priya Sharma,49,Mumbai,Gujarat,Debt Fund,Low,767735.0,162452.73,3.8466,2022-05-30,2026-04-03,21.16000052101311,767735.0,1,3,1.8000000000000003,Medium
133,INV100132,Rakesh Khan,46,Mumbai,West Bengal,Fixed Deposit,Low,336249.0,35070.77,5.1123,2019-05-09,2024-06-17,10.429999791820942,336249.0,1,2,1.4,Low
134,INV100133,Vikas Patil,29,Mumbai,Tamil Nadu,Mutual Fund,Medium,1668754.0,316228.88,3.6849,2021-11-25,2025-08-01,18.94999982022515,1668754.0,2,3,2.4000000000000004,High
135,INV100134,Kavita Joshi,55,Mumbai,Telangana,Debt Fund,Low,1873274.0,373530.84,3.8904,2019-09-28,2023-08-18,19.940000234882884,1873274.0,1,3,1.8000000000000003,Medium
136,INV100135,Sneha Agarwal,53,Hyderabad,Karnataka,Gold,Medium,601009.0,117677.56,3.063,2018-09-12,2021-10-04,19.57999963394891,601009.0,2,3,2.4000000000000004,High
137,INV100136,Sneha Verma,52,Ahmedabad,Tamil Nadu,Debt Fund,Low,3281529.0,677307.59,1.463,2022-06-29,2023-12-15,20.640000134083834,3281529.0,1,3,1.8000000000000003,Medium
138,INV100137,Sneha Patil,53,Kolkata,Maharashtra,ETF,Medium,2950791.0,469175.77,5.0247,2021-05-19,2026-05-27,15.900000033889219,2950791.0,2,3,2.4000000000000004,High
139,INV100138,Rahul Verma,65,Hyderabad,Karnataka,Equity,High,3157481.0,475832.39,5.4384,2021-08-02,2027-01-08,15.070000104513692,3157481.0,3,3,3.0,High
140,INV100139,Pooja Gupta,49,Jaipur,Karnataka,ETF,Medium,3875660.0,179443.06,4.6192,2022-05-14,2026-12-25,4.630000051604114,3875660.0,2,1,1.6,Low
141,INV100140,Shilpa Gupta,50,Bengaluru,Telangana,Equity,High,3311875.0,354370.62,1.7699,2021-03-21,2022-12-27,10.699999849028119,3311875.0,3,2,2.5999999999999996,High
142,INV100141,Rajesh Kulkarni,53,Jaipur,Tamil Nadu,ETF,Medium,1760684.0,228536.78,1.6603,2021-02-24,2022-10-23,12.979999818252452,1760684.0,2,2,2.0,Medium
