investment_id,client_id,client_name,age,city,state,asset_type,risk_category,investment_amount,annual_return_amount,investment_years,investment_start_date,investment_end_date,roi_percent,total_invested,asset_risk_score,roi_risk_score,risk_score,risk_level,years_invested,ending_value,cagr_percent
56,INV100055,Ritu Mehta,26,Bengaluru,Telangana,Gold,Medium,4857155.0,857287.86,4.9918,2021-08-15,2026-08-11,17.65000005147046,4857155.0,2,3,2.4000000000000004,High,4.991780821917808,5714442.86,3.3098266605504856
57,INV100056,Pooja Agarwal,60,Hyderabad,Rajasthan,Debt Fund,Low,2768642.0,441598.4,3.9781,2021-02-07,2025-01-29,15.95000003611879,2768642.0,1,3,1.8000000000000003,Medium,3.978082191780822,3210240.4,3.79016813442683
58,INV100057,Priya Patil,37,Kolkata,Tamil Nadu,ETF,Medium,2133893.0,131661.2,5.1671,2018-09-02,2023-11-01,6.170000089039142,2133893.0,2,1,1.6,Low,5.167123287671233,2265554.2,1.165437763268562
59,INV100058,Prakash Deshmukh,48,Bengaluru,Maharashtra,ETF,Medium,4600973.0,678183.42,2.0877,2022-09-02,2024-10-03,14.739999995653093,4600973.0,2,2,2.0,Medium,2.0876712328767124,5279156.42,6.807947085893895
60,INV100059,Anil Mehta,31,Jaipur,Tamil Nadu,Gold,Medium,2501090.0,120552.54,4.9123,2019-08-22,2024-07-19,4.820000079965135,2501090.0,2,1,1.6,Low,4.912328767123288,2621642.54,0.962897386096051
61,INV100060,Rakesh Verma,50,Pune,Maharashtra,Mutual Fund,Medium,3058048.0,223849.11,3.6795,2023-04-12,2026-12-15,7.319999882277845,3058048.0,2,1,1.6,Low,3.6794520547945204,3281897.11,1.9385327749891879
62,INV100061,Priya Agarwal,63,Ahmedabad,Gujarat,Gold,Medium,4921440.0,1037439.55,1.663,2019-05-24,2021-01-20,21.07999995936149,4921440.0,2,3,2.4000000000000004,High,1.663013698630137,5958879.55,12.189686169822256
63,INV100062,Nikita Sharma,64,Delhi,Telangana,Debt Fund,Low,2694378.0,524864.83,4.189,2019-09-18,2023-11-25,19.479999836697,2694378.0,1,3,1.8000000000000003,Medium,4.189041095890411,3219242.83,4.340224719643859
64,INV100063,Sneha Mehta,63,Bengaluru,Maharashtra,Mutual Fund,Medium,1517490.0,126255.17,1.0137,2018-11-17,2019-11-22,8.320000131796585,1517490.0,2,2,2.0,Medium,1.0136986301369864,1643745.17,8.203078230356997
65,INV100064,Rajesh Khan,37,Pune,Telangana,ETF,Medium,2571613.0,428173.56,2.3096,2021-11-08,2024-02-29,16.64999982501255,2571613.0,2,3,2.4000000000000004,High,2.3095890410958906,2999786.56,6.8955401179142894
66,INV100065,Prakash Khan,61,Kolkata,Delhi,Gold,Medium,2428286.0,458460.4,5.4466,2018-12-06,2024-05-16,18.880000131780193,2428286.0,2,3,2.4000000000000004,High,5.446575342465754,2886746.4,3.2262370268429708
67,INV100066,Suresh Khan,27,Hyderabad,Tamil Nadu,Equity,High,3576486.0,749989.11,3.4548,2020-10-08,2024-03-22,20.969999882566295,3576486.0,3,3,3.0,High,3.4547945205479453,4326475.11,5.665031610991789
68,INV100067,Rahul Patil,55,Bengaluru,Karnataka,Fixed Deposit,Low,374025.0,82248.1,4.2329,2019-07-06,2023-09-28,21.99000066840452,374025.0,1,3,1.8000000000000003,Medium,4.232876712328767,456273.1,4.8078352608878605
69,INV100068,Neha Verma,35,Chennai,Rajasthan,Debt Fund,Low,4324894.0,927257.27,2.8685,2020-04-16,2023-02-27,21.439999916760964,4324894.0,1,3,1.8000000000000003,Medium,2.8684931506849316,5252151.27,7.006407048634156
70,INV100069,Neha Kulkarni,45,Chennai,Maharashtra,ETF,Medium,3559236.0,663441.59,1.4932,2020-07-20,2022-01-16,18.639999988761634,3559236.0,2,3,2.4000000000000004,High,1.4931506849315068,4222677.59,12.128091924393525
71,INV100070,Ritu Mehta,28,Bengaluru,Karnataka,Debt Fund,Low,4075338.0,466218.67,4.4932,2020-01-11,2024-07-08,11.440000068705958,4075338.0,1,2,1.4,Low,4.493150684931507,4541556.67,2.439986822318696
72,INV100071,Vikas Kulkarni,60,Ahmedabad,Gujarat,Equity,High,4266057.0,264068.93,2.3425,2021-05-31,2023-10-03,6.190000039849444,4266057.0,3,1,2.1999999999999997,Medium,2.3424657534246576,4530125.93,2.597106572363783
73,INV100072,Ritu Kulkarni,57,Chennai,Rajasthan,Gold,Medium,1151780.0,141784.12,1.863,2022-09-01,2024-07-12,12.310000173644271,1151780.0,2,2,2.0,Medium,1.8630136986301369,1293564.12,6.4296986893377595
74,INV100073,Anil Verma,42,Hyderabad,Tamil Nadu,Equity,High,4824346.0,318406.84,3.8493,2021-05-12,2025-03-17,6.600000082912794,4824346.0,3,1,2.1999999999999997,Medium,3.8493150684931505,5142752.84,1.6742427392900217
75,INV100074,Anil Mehta,59,Hyderabad,West Bengal,Fixed Deposit,Low,2704467.0,515741.86,3.7452,2021-09-13,2025-06-11,19.070000114625174,2704467.0,1,3,1.8000000000000003,Medium,3.745205479452055,3220208.86,4.770698297801901
76,INV100075,Sunil Khan,49,Chennai,Maharashtra,Debt Fund,Low,3364267.0,410440.57,4.9123,2019-01-22,2023-12-20,12.199999881103372,3364267.0,1,2,1.4,Low,4.912328767123288,3774707.57,2.371016962850403
77,INV100076,Anil Mehta,27,Ahmedabad,West Bengal,Equity,High,3397998.0,372080.78,4.6575,2022-08-08,2027-04-04,10.949999970570907,3397998.0,3,2,2.5999999999999996,High,4.657534246575342,3770078.7800000003,2.2560701522718274
78,INV100077,Anil Agarwal,34,Kolkata,Tamil Nadu,Debt Fund,Low,3893556.0,225436.89,5.0521,2018-02-01,2023-02-19,5.789999938359689,3893556.0,1,1,1.0,Low,5.052054794520548,4118992.89,1.120346578608089
79,INV100078,Priya Agarwal,45,Ahmedabad,Maharashtra,Fixed Deposit,Low,3534331.0,554889.97,4.7836,2022-10-12,2027-07-24,15.700000084881694,3534331.0,1,3,1.8000000000000003,Medium,4.7835616438356166,4089220.9699999997,3.09551955052354
80,INV100079,Rakesh Mehta,35,Mumbai,Maharashtra,Debt Fund,Low,2610709.0,573050.63,1.5507,2020-06-07,2021-12-25,21.95000017236697,2610709.0,1,3,1.8000000000000003,Medium,1.5506849315068494,3183759.63,13.651875226842414
81,INV100080,Sneha Khan,36,Nagpur,Delhi,Fixed Deposit,Low,2660947.0,278068.96,3.9781,2019-05-16,2023-05-07,10.449999943629091,2660947.0,1,2,1.4,Low,3.978082191780822,2939015.96,2.529983364836541
82,INV100081,Rajesh Mehta,41,Kolkata,Tamil Nadu,ETF,Medium,2220226.0,287741.29,3.5863,2019-04-21,2022-11-20,12.960000018016181,2220226.0,2,2,2.0,Medium,3.5863013698630137,2507967.29,3.45642231537151
83,INV100082,Sneha Kulkarni,54,Delhi,Gujarat,Gold,Medium,819598.0,97941.96,2.6767,2021-04-18,2023-12-21,11.949999877988967,819598.0,2,2,2.0,Medium,2.6767123287671235,917539.96,4.307381109662245
84,INV100083,Amit Agarwal,42,Jaipur,Maharashtra,Fixed Deposit,Low,3399115.0,485733.53,2.6548,2021-12-03,2024-07-29,14.289999897032022,3399115.0,1,2,1.4,Low,2.654794520547945,3884848.5300000003,5.159948839397566
85,INV100084,Sunil Deshmukh,64,Nagpur,Delhi,ETF,Medium,2600770.0,467098.29,2.9753,2022-07-01,2025-06-21,17.959999923099694,2600770.0,2,3,2.4000000000000004,High,2.9753424657534246,3067868.29,5.708461043210034
86,INV100085,Anil Verma,43,Chennai,Karnataka,Mutual Fund,Medium,2791516.0,507776.76,5.1068,2020-01-18,2025-02-24,18.18999998567087,2791516.0,2,3,2.4000000000000004,High,5.1068493150684935,3299292.76,3.3266689624604773
87,INV100086,Vikas Kulkarni,55,Hyderabad,Delhi,Gold,Medium,4724880.0,934581.26,2.5288,2020-10-24,2023-05-05,19.779999915341765,4724880.0,2,3,2.4000000000000004,High,2.5287671232876714,5659461.26,7.398210491629809
88,INV100087,Kavita Joshi,48,Chennai,Maharashtra,Debt Fund,Low,1380755.0,242598.65,5.063,2021-10-17,2026-11-08,17.569999746515492,1380755.0,1,3,1.8000000000000003,Medium,5.063013698630137,1623353.65,3.2486359922577313
89,INV100088,Kavita Gupta,31,Kolkata,Maharashtra,Fixed Deposit,Low,4015021.0,426796.73,4.2795,2019-06-21,2023-09-30,10.629999942715118,4015021.0,1,2,1.4,Low,4.279452054794521,4441817.73,2.3886915124959884
90,INV100089,Anjali Kulkarni,51,Nagpur,Maharashtra,Equity,High,4909426.0,486033.17,1.3534,2021-08-19,2022-12-26,9.89999991852408,4909426.0,3,2,2.5999999999999996,High,1.3534246575342466,5395459.17,7.223953696892815
91,INV100090,Kavita Mehta,48,Jaipur,Karnataka,Gold,Medium,4332434.0,263845.23,1.7589,2021-01-05,2022-10-09,6.089999986150971,4332434.0,2,1,1.6,Low,1.7589041095890412,4596279.23,3.4181689666445303
92,INV100091,Pooja Deshmukh,53,Delhi,West Bengal,Equity,High,4304940.0,649184.95,1.1836,2019-07-27,2020-10-01,15.079999953541744,4304940.0,3,3,3.0,High,1.1835616438356165,4954124.95,12.600217054552388
93,INV100092,Kavita Kulkarni,37,Kolkata,Delhi,ETF,Medium,3281428.0,452837.06,1.3397,2020-01-05,2021-05-08,13.79999987810185,3281428.0,2,2,2.0,Medium,1.3397260273972602,3734265.06,10.130035212042298
94,INV100093,Swati Deshmukh,29,Jaipur,Telangana,Mutual Fund,Medium,379159.0,18616.71,5.4137,2018-09-15,2024-02-12,4.910000817598949,379159.0,2,1,1.6,Low,5.413698630136986,397775.71,0.8893270456863611
95,INV100094,Anil Joshi,41,Pune,Maharashtra,Mutual Fund,Medium,1437774.0,261674.87,1.811,2019-07-22,2021-05-13,18.20000013910392,1437774.0,2,3,2.4000000000000004,High,1.810958904109589,1699448.87,9.672794458797828
96,INV100095,Anil Agarwal,58,Pune,Rajasthan,Gold,Medium,2195914.0,320603.44,1.2932,2019-06-28,2020-10-12,14.599999817843504,2195914.0,2,2,2.0,Medium,1.2931506849315069,2516517.44,11.113739839503921
97,INV100096,Rahul Joshi,44,Mumbai,Maharashtra,Gold,Medium,4505352.0,661836.21,4.4493,2019-03-30,2023-09-09,14.690000026634989,4505352.0,2,2,2.0,Medium,4.449315068493151,5167188.21,3.128473148571298
98,INV100097,Suresh Verma,45,Pune,Karnataka,Debt Fund,Low,3775842.0,617350.17,3.4877,2023-02-07,2026-08-03,16.350000079452478,3775842.0,1,3,1.8000000000000003,Medium,3.4876712328767123,4393192.17,4.437584780138448
99,INV100098,Prakash Mehta,57,Pune,Delhi,ETF,Medium,4799947.0,807351.09,3.9753,2021-05-08,2025-04-28,16.82000009583439,4799947.0,2,3,2.4000000000000004,High,3.9753424657534246,5607298.09,3.9881845920143544
100,INV100099,Sneha Gupta,54,Chennai,Delhi,Debt Fund,Low,4824935.0,819273.96,2.2795,2020-07-13,2022-10-23,16.979999937822996,4824935.0,1,3,1.8000000000000003,Medium,2.2794520547945205,5644208.96,7.122499429383744
101,INV100100,Suresh Verma,30,Chennai,Delhi,ETF,Medium,2338170.0,251119.46,3.6603,2023-03-06,2026-11-01,10.74000008553698,2338170.0,2,2,2.0,Medium,3.66027397260274,2589289.46,2.826286988831961
102,INV100101,Neha Verma,51,Chennai,Maharashtra,Debt Fund,Low,1291487.0,180937.33,4.1507,2021-02-24,2025-04-19,14.010000100659163,1291487.0,1,2,1.4,Low,4.1506849315068495,1472424.33,3.20932259253639
103,INV100102,Ritu Deshmukh,31,Ahmedabad,West Bengal,Equity,High,3149822.0,184579.57,4.6822,2018-11-13,2023-07-19,5.860000025398261,3149822.0,3,1,2.1999999999999997,Medium,4.682191780821918,3334401.57,1.2236790599336578
104,INV100103,Nikita Khan,60,Jaipur,Tamil Nadu,Equity,High,2097159.0,388603.56,5.3041,2023-06-19,2028-10-06,18.529999871254397,2097159.0,3,3,3.0,High,5.304109589041096,2485762.56,3.2568975503623587
105,INV100104,Swati Agarwal,29,Mumbai,Delhi,ETF,Medium,2791951.0,574862.71,1.8027,2019-01-07,2020-10-26,20.589999967764474,2791951.0,2,3,2.4000000000000004,High,1.8027397260273972,3366813.71,10.944120021303938
106,INV100105,Neha Khan,63,Mumbai,Karnataka,Mutual Fund,Medium,3355747.0,387924.35,2.7479,2020-01-28,2022-10-27,11.5599999046412,3355747.0,2,2,2.0,Medium,2.747945205479452,3743671.35,4.061178066069515
107,INV100106,Ritu Khan,53,Bengaluru,Telangana,Fixed Deposit,Low,617438.0,99592.75,3.3781,2021-09-17,2025-02-01,16.13000009717575,617438.0,1,3,1.8000000000000003,Medium,3.378082191780822,717030.75,4.526217714185665
108,INV100107,Shilpa Kulkarni,27,Chennai,Maharashtra,Equity,High,3806376.0,228382.56,3.7288,2021-04-29,2025-01-19,6.0,3806376.0,3,1,2.1999999999999997,Medium,3.728767123287671,4034758.56,1.5749594151470259
109,INV100108,Rakesh Sharma,56,Nagpur,Karnataka,Gold,Medium,1971959.0,351205.9,2.8384,2019-08-16,2022-06-17,17.81000010649309,1971959.0,2,3,2.4000000000000004,High,2.8383561643835615,2323164.9,5.944558498968844
110,INV100109,Suresh Agarwal,27,Mumbai,Rajasthan,Equity,High,2130308.0,276940.04,2.9863,2022-07-10,2025-07-04,12.999999999999998,2130308.0,3,2,2.5999999999999996,High,2.9863013698630136,2407248.04,4.177510304166865
111,INV100110,Rakesh Agarwal,26,Nagpur,Rajasthan,ETF,Medium,3801097.0,544317.09,2.6219,2020-05-05,2022-12-18,14.31999998947672,3801097.0,2,2,2.0,Medium,2.621917808219178,4345414.09,5.2368463977592095
112,INV100111,Kavita Joshi,30,Bengaluru,West Bengal,Mutual Fund,Medium,939287.0,111399.44,4.3041,2020-06-11,2024-09-29,11.860000191634718,939287.0,2,2,2.0,Medium,4.304109589041096,1050686.44,2.638173857429549
113,INV100112,Deepak Gupta,47,Delhi,Delhi,Mutual Fund,Medium,1610399.0,86478.43,3.8603,2020-12-22,2024-10-31,5.370000229756725,1610399.0,2,1,1.6,Low,3.8602739726027395,1696877.43,1.3642498120017388
114,INV100113,Vikas Mehta,54,Jaipur,West Bengal,ETF,Medium,1655415.0,245663.59,1.4219,2021-09-04,2023-02-05,14.840000241631252,1655415.0,2,2,2.0,Medium,1.4219178082191781,1901078.59,10.220421204571428
115,INV100114,Rajesh Khan,28,Ahmedabad,Delhi,Debt Fund,Low,3888997.0,203394.54,5.4658,2019-09-13,2025-02-28,5.229999920287931,3888997.0,1,1,1.0,Low,5.465753424657534,4092391.54,0.9370477221847251
